N,Quick_Random,Intro_Random,Quick_Inverted,Intro_Inverted,Quick_Almost,Intro_Almost
500,52,36,42,16,51,17
1500,145,98,92,33,96,51
2500,264,182,193,60,196,92
3500,381,275,234,84,248,141
4500,501,380,403,111,369,178
5500,629,453,402,131,496,231
6500,721,519,478,157,485,261
7500,877,597,558,184,554,307
8500,998,698,642,215,674,363
9500,1112,791,736,237,732,414
10500,1232,844,823,257,807,442
11500,1418,974,853,282,896,497
12500,1549,1304,958,316,1114,556
13500,1720,1214,1064,619,1093,648
14500,1824,1349,1114,358,1174,647
15500,1944,1404,1205,414,1300,715
16500,2144,1461,1274,410,1404,746
17500,2212,1587,1496,479,1479,825
18500,2402,1796,1562,534,1566,871
19500,2441,1776,1598,532,1680,886
20500,2662,1888,1648,611,1747,957
21500,2748,1997,1799,580,1847,1000
22500,2858,2105,1849,726,1930,1106
23500,2949,2201,1917,636,1995,1096
24500,3241,2274,2071,695,2091,1150
25500,3394,2404,2174,689,2239,1249
26500,3436,2502,2290,714,2286,1256
27500,3545,2581,2299,747,2437,1341
28500,3660,2822,2382,794,2503,1401
29500,3852,2790,2414,795,2595,1445
30500,3947,2902,2565,850,2690,1496
31500,4048,2964,2649,873,2813,1524
32500,4331,3124,3088,912,2942,1579
33500,4572,3180,2806,942,3005,1917
34500,4613,3262,2835,1009,3171,1777
35500,4686,3730,2964,972,3110,1809
36500,5077,3698,3165,1038,3353,2582
37500,5001,3535,3357,1028,3345,1921
38500,5060,3682,3381,1071,3475,1986
39500,5352,3902,3673,1163,3648,2026
40500,5396,3796,3454,1148,3645,2190
41500,5537,3854,3481,1191,3826,2085
42500,5610,4245,3585,1225,3822,2148
43500,5843,4120,3794,1239,3947,2203
44500,5904,4242,3885,1224,4096,2247
45500,6048,4428,3984,1285,4539,2283
46500,6122,4513,4072,1317,4337,2398
47500,6479,4640,4086,1441,4328,2476
48500,6428,4672,4157,1326,4497,2563
49500,6653,4970,4307,1352,4790,2490
50500,6818,4989,5132,1476,4942,2577
51500,7012,4856,4666,1430,4743,2566
52500,7065,4981,4602,1447,4824,2613
53500,7426,5196,4793,1479,4993,2744
54500,7332,5212,4715,1481,5114,2914
55500,7573,5311,4956,1571,5194,3083
56500,7607,5637,5045,1560,5296,2920
57500,7605,5585,4908,1577,5709,2989
58500,7910,5727,5201,1613,5451,3008
59500,8199,5789,5346,1668,5632,3017
60500,8094,5821,5401,1696,5619,3056
61500,8095,5939,5244,1745,5729,3105
62500,8643,6039,5372,1701,5773,3143
63500,8431,6225,5392,1781,5979,3269
64500,8506,6109,5723,1773,5991,3308
65500,8811,6294,5553,1828,6222,3389
66500,8859,6204,5637,1805,6151,3330
67500,9098,6477,5786,1831,6424,3435
68500,9159,6582,5963,1894,6323,3490
69500,9429,6622,5939,1929,6413,3587
70500,9551,7115,6362,2037,6880,3714
71500,9955,7075,6390,2003,7001,3675
72500,10197,7138,6509,2065,7048,3777
73500,10297,7236,6569,2081,7129,3820
74500,10483,7390,6721,2169,7398,3862
75500,10457,7427,6842,2231,7302,3986
76500,10902,7579,7017,2254,7514,4361
77500,10903,7798,7015,2316,7477,3982
78500,10976,7633,7202,2379,7498,4116
79500,11163,7780,7202,2301,7931,4231
80500,11294,8161,7416,2312,7827,4170
81500,11613,8351,7499,2570,8136,4377
82500,11565,8115,7463,2373,8046,4364
83500,12302,8386,7578,2443,8504,4463
84500,12018,8407,7771,2388,8536,4480
85500,11935,8409,7806,2440,8521,4487
86500,12394,8551,7861,2591,8838,4600
87500,12392,8719,8091,2524,8745,4527
88500,12489,8735,7917,2569,8847,4602
89500,12737,8914,8277,2563,8707,4655
90500,12691,8789,7833,2586,8918,4497
91500,12693,8973,8035,2541,9161,4548
92500,12861,8864,8199,2621,8814,4528
93500,12837,8872,8510,2692,9046,4621
94500,13139,9045,8566,2624,9208,4640
95500,13438,9213,8311,2723,9404,4606
96500,13491,9375,8788,2699,9330,4598
97500,13649,9748,8859,2828,9761,4729
98500,14134,9920,9269,2857,9873,4553
99500,14195,9727,9622,2906,9973,4329
